source target L0
0 15 1
0 69 1
0 71 1
0 90 1
0 104 1
0 106 1
0 129 1
0 135 1
0 165 1
0 170 1
0 171 1
0 172 1
0 185 1
0 193 1
0 198 1
0 199 1
1 74 1
1 78 1
1 85 1
1 87 1
1 90 1
1 92 1
1 97 1
1 99 1
1 105 1
1 108 1
1 115 1
1 130 1
1 132 1
1 136 1
1 138 2
1 143 1
1 148 1
1 152 1
1 156 1
1 158 1
1 160 1
1 161 2
1 170 2
1 181 1
1 188 1
1 190 1
2 67 1
2 75 1
2 97 1
2 99 1
2 101 1
2 102 1
2 105 2
2 113 1
2 116 1
2 121 2
2 129 2
2 130 1
2 131 1
2 141 1
2 142 1
2 144 1
2 151 1
2 169 1
2 170 1
2 175 1
2 177 1
2 179 1
2 180 1
2 186 1
2 188 1
2 198 1
3 75 1
3 85 1
3 88 1
3 107 1
3 109 1
3 110 1
3 126 1
3 129 1
3 133 1
3 135 1
3 136 1
3 138 1
3 140 1
3 153 1
3 163 1
3 172 1
3 174 1
3 176 1
3 177 1
3 179 1
3 181 1
3 182 1
3 187 2
3 196 1
4 72 1
4 75 1
4 76 1
4 88 1
4 92 1
4 113 1
4 117 1
4 118 1
4 126 2
4 136 1
4 145 1
4 146 1
4 150 1
4 154 2
4 169 1
4 175 1
4 178 1
4 183 1
4 185 1
4 191 1
4 196 1
4 197 1
5 66 1
5 67 1
5 68 1
5 77 1
5 78 1
5 85 1
5 87 1
5 106 1
5 108 1
5 117 1
5 123 1
5 128 1
5 152 1
5 164 1
5 168 1
5 178 2
5 181 1
5 189 1
5 192 1
5 195 1
6 72 1
6 76 1
6 79 1
6 84 2
6 85 1
6 86 1
6 91 1
6 94 1
6 97 1
6 99 1
6 110 1
6 114 1
6 117 2
6 120 1
6 123 1
6 126 1
6 128 1
6 129 1
6 142 2
6 152 1
6 154 1
6 171 1
6 172 1
6 176 1
6 180 1
6 187 1
6 188 1
6 189 1
6 193 1
6 198 1
7 8 1
7 67 1
7 70 1
7 71 1
7 74 1
7 75 1
7 78 1
7 81 3
7 82 1
7 86 1
7 88 1
7 90 1
7 91 1
7 95 1
7 106 1
7 109 2
7 112 1
7 129 1
7 140 1
7 145 1
7 151 1
7 168 1
7 169 1
7 175 2
7 193 1
7 195 1
7 196 1
7 199 1
8 18 1
8 23 1
8 30 1
8 32 1
8 35 1
8 45 1
8 60 1
8 61 2
8 62 2
8 63 1
8 74 1
8 78 1
8 82 1
8 130 1
8 131 1
8 159 1
8 168 1
8 193 1
9 34 1
9 45 1
9 46 1
9 57 1
9 66 1
9 70 1
9 75 1
9 80 1
9 91 2
9 94 1
9 99 1
9 101 1
9 112 1
9 114 1
9 123 1
9 136 1
9 156 1
9 161 1
9 169 1
9 174 1
9 189 1
10 67 1
10 70 1
10 79 1
10 81 1
10 85 1
10 95 1
10 96 1
10 103 1
10 106 1
10 119 1
10 120 1
10 121 1
10 128 1
10 131 1
10 132 1
10 134 1
10 140 1
10 144 1
10 146 1
10 155 1
10 162 1
10 167 1
10 170 1
10 175 1
10 178 1
10 181 1
10 185 1
10 191 1
10 194 1
11 71 2
11 75 1
11 77 1
11 82 2
11 91 1
11 95 1
11 104 1
11 110 1
11 116 1
11 119 1
11 130 1
11 135 1
11 136 1
11 146 1
11 147 1
11 149 1
11 153 1
11 162 1
11 170 1
11 176 1
11 182 1
11 193 1
12 66 2
12 70 1
12 84 1
12 85 1
12 101 1
12 110 1
12 118 1
12 119 2
12 127 1
12 128 1
12 131 1
12 137 1
12 143 2
12 152 1
12 163 1
12 168 1
12 169 1
12 173 1
12 185 1
12 188 1
13 69 1
13 71 1
13 79 3
13 89 1
13 96 1
13 109 1
13 111 1
13 120 1
13 121 1
13 129 1
13 135 1
13 136 1
13 151 1
13 152 1
13 159 1
13 169 1
13 175 1
13 176 2
13 190 1
14 76 1
14 78 1
14 80 1
14 91 1
14 94 1
14 107 1
14 109 1
14 110 1
14 114 2
14 117 1
14 126 1
14 127 1
14 129 1
14 140 1
14 142 1
14 154 1
14 156 1
14 170 1
14 179 1
14 181 2
14 185 1
14 191 1
14 192 1
14 199 1
15 17 1
15 25 1
15 31 1
15 33 1
15 35 1
15 41 1
15 44 1
15 51 1
15 63 1
15 67 1
15 80 2
15 85 2
15 87 1
15 89 1
15 94 1
15 104 1
15 105 1
15 106 1
15 108 1
15 120 1
15 169 1
15 198 1
16 31 1
16 76 1
16 79 1
16 85 1
16 89 1
16 98 1
16 101 1
16 127 1
16 130 1
16 135 1
16 143 1
16 144 1
16 146 1
16 147 1
16 155 1
16 156 1
16 181 1
16 183 1
16 187 1
16 193 1
17 66 1
17 73 1
17 80 1
17 87 1
17 91 1
17 94 1
17 96 1
17 102 1
17 106 1
17 109 1
17 122 1
17 146 1
17 148 1
17 151 2
17 165 1
17 168 1
17 173 1
17 182 1
17 187 1
17 198 1
18 68 1
18 78 2
18 85 1
18 96 1
18 98 1
18 102 1
18 103 1
18 110 1
18 111 1
18 129 1
18 134 1
18 145 1
18 146 1
18 147 1
18 150 2
18 161 1
18 164 1
18 166 1
18 177 1
18 183 1
19 72 1
19 81 1
19 82 2
19 98 1
19 102 1
19 107 1
19 113 1
19 115 1
19 149 1
19 150 1
19 155 1
19 166 1
19 167 1
19 168 1
19 173 1
19 178 1
19 182 1
19 190 1
19 196 1
20 73 1
20 75 1
20 90 1
20 99 1
20 105 1
20 110 1
20 126 1
20 142 1
20 143 1
20 161 1
20 166 2
20 173 1
20 186 1
20 190 1
21 69 1
21 72 1
21 74 1
21 75 1
21 76 1
21 81 1
21 86 1
21 89 1
21 91 1
21 94 1
21 106 1
21 127 1
21 130 1
21 131 1
21 142 2
21 148 1
21 149 1
21 151 1
21 155 1
21 164 1
21 165 1
21 179 2
22 54 1
22 66 1
22 72 1
22 76 2
22 82 2
22 88 1
22 91 1
22 97 1
22 99 1
22 101 1
22 106 1
22 118 1
22 127 1
22 145 1
22 146 1
22 147 1
22 148 1
22 149 1
22 153 1
22 170 2
22 173 1
22 175 2
22 178 2
22 182 1
22 185 1
22 199 1
23 77 1
23 78 1
23 81 3
23 82 1
23 86 1
23 89 1
