source target w
0 11 1
0 15 1
0 54 1
0 91 1
0 93 1
0 122 1
0 173 1
1 10 1
1 21 1
1 42 1
1 87 1
1 113 1
1 224 1
2 10 1
2 14 1
2 23 1
2 53 1
2 72 1
2 78 1
2 87 1
2 90 1
2 167 1
2 180 1
2 252 1
2 255 1
3 16 1
3 35 1
3 63 1
3 82 1
3 85 1
3 95 1
3 292 1
4 3 1
4 11 1
4 32 1
4 33 1
4 56 1
4 62 1
4 65 1
4 70 1
4 72 1
4 83 1
4 94 1
4 191 1
5 39 1
5 78 1
5 82 1
5 131 1
5 145 1
5 249 1
5 294 1
6 4 1
6 9 1
6 20 1
6 55 1
6 61 1
6 85 1
6 91 1
6 166 1
6 183 1
7 21 1
7 73 1
7 93 1
7 97 1
7 123 1
7 128 1
8 1 1
8 4 1
8 13 1
8 29 1
8 70 1
8 76 1
8 130 1
9 12 1
9 20 1
9 26 1
9 32 1
9 43 1
9 71 1
9 90 1
9 93 1
9 200 1
10 40 1
10 57 1
10 82 1
10 91 1
10 99 1
10 183 1
11 9 1
11 23 1
11 39 1
11 48 1
11 50 1
11 54 1
11 60 1
11 68 1
11 94 1
11 159 1
11 198 1
11 253 1
11 280 1
12 23 1
12 27 1
12 28 1
13 7 1
13 24 1
13 30 1
13 32 1
13 35 1
13 49 1
13 58 1
13 84 1
13 134 1
14 3 1
14 4 1
14 11 1
14 15 1
14 41 1
14 50 1
14 68 1
14 84 1
14 261 1
15 0 1
15 1 1
15 14 1
15 17 1
15 33 1
15 71 1
15 83 1
15 96 1
15 159 1
15 241 1
15 249 1
16 2 1
16 9 1
16 21 1
16 23 1
16 31 1
16 55 1
16 57 1
16 92 1
16 133 1
16 212 1
17 19 1
17 21 1
17 28 1
17 66 1
17 88 1
17 95 1
17 226 1
18 16 1
18 59 1
18 78 1
18 82 1
18 215 1
18 227 1
18 263 1
18 275 1
19 6 1
19 8 1
19 10 1
19 12 1
19 17 1
19 25 1
19 28 1
19 54 1
19 56 1
19 59 1
19 76 1
19 88 1
19 143 1
19 283 1
19 295 1
20 34 1
20 48 1
20 60 1
20 77 1
20 89 1
20 260 1
20 266 1
21 3 1
21 5 1
21 13 1
21 35 1
21 67 1
21 71 1
21 75 1
21 99 1
21 112 1
21 261 1
21 262 1
22 10 1
22 40 1
22 55 1
22 58 1
22 60 1
22 62 1
22 68 1
22 96 1
22 178 1
22 219 1
22 296 1
23 7 1
23 35 1
23 117 1
23 198 1
24 62 1
24 65 1
24 204 1
25 9 1
25 17 1
25 64 1
25 65 1
25 94 1
25 150 1
25 192 1
26 3 1
26 23 1
26 32 1
26 34 1
26 37 1
26 44 1
26 49 1
26 50 1
26 61 1
26 68 1
26 78 1
26 239 1
27 5 1
27 12 1
27 32 1
27 33 1
27 97 1
27 169 1
27 171 1
27 246 1
27 268 1
27 271 1
28 1 1
28 44 1
28 111 1
28 205 1
28 238 1
28 279 1
29 15 1
29 21 1
29 60 1
29 73 1
29 77 1
29 257 1
29 281 1
29 296 1
30 10 1
30 17 1
30 22 1
30 23 1
30 25 1
30 38 1
30 47 1
30 55 1
30 68 1
30 75 1
30 89 1
30 151 1
31 21 1
31 49 1
31 52 1
31 57 1
31 70 1
31 90 1
31 99 1
31 216 1
31 273 1
31 298 1
32 4 1
32 15 1
32 53 1
32 68 1
32 92 1
32 103 1
32 236 1
33 0 1
33 6 1
33 16 1
33 27 1
33 39 1
33 82 1
33 287 1
33 289 1
34 6 1
34 7 1
34 9 1
34 20 1
34 24 1
34 51 1
34 60 1
34 69 1
34 71 1
34 74 1
34 80 1
34 86 1
34 97 1
34 118 1
34 137 1
35 3 1
35 11 1
35 21 1
35 45 1
35 59 1
35 69 1
35 222 1
35 245 1
36 12 1
36 52 1
36 62 1
36 104 1
36 237 1
37 10 1
37 15 1
37 16 1
37 35 1
37 45 1
37 46 1
37 53 1
37 54 1
37 58 1
37 62 1
37 63 1
37 64 1
37 72 1
37 77 1
37 127 1
37 148 1
38 7 1
38 24 1
38 42 1
38 52 1
38 56 1
38 74 1
39 43 1
39 50 1
39 51 1
39 69 1
39 71 1
39 111 1
39 225 1
40 3 1
40 24 1
40 60 1
40 64 1
40 77 1
40 80 1
40 94 1
41 5 1
41 37 1
41 52 1
41 59 1
41 84 1
41 112 1
41 114 1
41 122 1
41 209 1
41 259 1
42 2 1
42 4 1
42 10 1
42 32 1
42 59 1
42 82 1
42 155 1
42 198 1
42 296 1
43 2 1
43 14 1
43 31 1
43 36 1
43 70 1
43 89 1
43 95 1
43 241 1
44 14 1
44 34 1
44 50 1
44 54 1
44 65 1
44 66 1
44 67 1
44 80 1
45 20 1
45 53 1
45 55 1
45 62 1
45 78 1
45 80 1
45 93 1
45 103 1
45 201 1
46 8 1
46 17 1
46 33 1
46 81 1
46 86 1
46 90 1
46 147 1
46 176 1
47 11 1
47 30 1
47 33 1
47 48 1
47 52 1
47 71 1
47 233 1
48 2 1
48 6 1
48 20 1
48 49 1
48 53 1
48 62 1
48 64 1
48 71 1
48 88 1
48 163 1
48 187 1
48 190 1
48 199 1
49 8 1
49 16 1
49 55 1
49 63 1
49 67 1
49 72 1
49 73 1
49 97 1
49 286 1
50 4 1
50 17 1
50 35 1
50 81 1
50 95 1
50 97 1
51 39 1
51 40 1
51 42 1
51 59 1
51 60 1
51 73 1
51 87 1
51 89 1
52 3 1
52 36 1
52 41 1
52 49 1
52 63 1
52 75 1
52 79 1
52 116 1
52 174 1
52 261 1
53 1 1
53 24 1
53 32 1
53 34 1
53 39 1
53 40 1
53 79 1
53 84 1
53 88 1
53 90 1
53 91 1
53 98 1
53 172 1
53 249 1
53 271 1
54 36 1
54 55 1
54 63 1
54 106 1
54 164 1
55 2 1
55 22 1
55 42 1
55 49 1
55 52 1
55 78 1
55 83 1
55 84 1
55 86 1
55 96 1
55 98 1
55 172 1
55 268 1
55 283 1
56 18 1
56 26 1
56 36 1
56 41 1
56 49 1
56 70 1
56 74 1
56 84 1
56 92 1
56 95 1
56 253 1
56 292 1
57 5 1
57 26 1
57 42 1
57 49 1
57 60 1
57 72 1
57 75 1
57 87 1
57 150 1
57 231 1
57 248 1
58 2 1
58 11 1
58 22 1
58 45 1
58 48 1
58 97 1
58 214 1
59 6 1
59 15 1
59 35 1
59 37 1
59 62 1
59 72 1
59 76 1
59 83 1
59 88 1
59 89 1
59 91 1
59 129 1
59 142 1
59 163 1
60 2 1
60 15 1
60 25 1
60 37 1
60 38 1
60 44 1
60 83 1
60 93 1
60 98 1
60 132 1
60 134 1
60 206 1
60 283 1
61 6 1
61 30 1
61 31 1
61 33 1
61 44 1
61 54 1
61 62 1
61 92 1
61 107 1
61 266 1
62 4 1
62 70 1
62 75 1
62 196 1
62 257 1
63 7 1
63 47 1
63 74 1
63 85 1
63 157 1
63 228 1
64 22 1
64 55 1
64 65 1
64 82 1
64 91 1
64 228 1
65 5 1
65 42 1
65 69 1
65 81 1
65 251 1
66 18 1
66 25 1
66 91 1
66 96 1
66 121 1
66 194 1
66 200 1
66 235 1
67 19 1
67 42 1
67 56 1
67 59 1
67 110 1
67 215 1
67 284 1
68 9 1
68 17 1
68 41 1
69 4 1
69 7 1
69 23 1
69 24 1
69 34 1
69 37 1
69 39 1
69 61 1
69 74 1
69 88 1
69 93 1
69 150 1
70 43 1
70 46 1
70 50 1
70 73 1
70 78 1
70 91 1
70 98 1
70 138 1
70 177 1
70 211 1
70 290 1
71 15 1
71 16 1
71 38 1
71 65 1
71 76 1
71 89 1
71 93 1
71 110 1
71 225 1
71 249 1
72 14 1
72 28 1
72 36 1
72 97 1
72 101 1
72 207 1
72 222 1
72 297 1
73 16 1
73 35 1
73 53 1
73 64 1
73 92 1
73 98 1
73 175 1
73 189 1
73 200 1
74 25 1
74 30 1
74 34 1
74 36 1
74 47 1
74 76 1
74 95 1
74 97 1
75 19 1
75 21 1
75 23 1
75 44 1
75 48 1
75 72 1
75 90 1
75 92 1
75 94 1
75 96 1
75 111 1
75 169 1
75 180 1
75 234 1
75 242 1
75 261 1
75 268 1
76 8 1
76 18 1
76 24 1
76 37 1
76 48 1
76 52 1
76 57 1
76 63 1
76 72 1
