source target w
0 18 1
0 50 1
0 95 1
0 196 1
0 204 1
0 321 1
0 429 1
0 525 1
1 48 1
1 75 1
1 104 1
1 119 1
1 120 1
1 124 1
1 157 1
1 163 1
1 165 1
1 197 1
1 274 1
2 22 1
2 43 1
2 57 1
2 131 1
2 163 1
2 482 1
3 1 1
3 46 1
3 47 1
3 62 1
3 71 1
3 101 1
3 142 1
3 146 1
3 209 1
3 571 1
4 12 1
4 22 1
4 40 1
4 53 1
4 64 1
4 72 1
4 82 1
4 91 1
4 128 1
4 172 1
5 19 1
5 31 1
5 43 1
5 45 1
5 47 1
5 64 1
5 72 1
5 108 1
5 140 1
5 174 1
5 233 2
6 102 1
6 115 1
6 125 1
6 146 2
6 147 1
6 150 1
6 162 1
6 277 1
7 17 1
7 21 1
7 42 1
7 50 2
7 56 2
7 75 2
7 86 1
7 151 1
8 35 1
8 100 1
8 135 1
8 136 2
8 168 1
8 172 1
8 178 1
8 190 1
8 593 1
9 26 1
9 41 2
9 68 1
9 96 1
9 121 2
9 135 1
9 138 1
9 156 1
9 171 1
10 1 1
10 39 1
10 74 5
10 86 1
10 91 1
10 185 1
10 189 2
10 419 2
10 494 3
11 16 1
11 17 3
11 110 1
11 169 1
11 181 1
11 206 1
12 107 1
12 155 1
12 596 1
13 17 2
13 94 1
13 98 1
13 154 1
13 190 1
14 63 1
14 72 1
14 73 1
14 76 1
14 78 1
14 122 1
14 127 4
14 157 1
14 158 1
14 175 1
15 103 1
15 120 1
15 144 1
15 151 1
15 159 1
15 425 1
16 11 1
16 28 1
16 45 1
16 76 1
16 125 1
16 142 1
16 149 1
16 162 1
16 169 1
16 333 1
16 498 1
17 7 1
17 11 1
17 13 2
17 78 1
17 80 1
17 97 1
17 112 1
17 135 1
17 199 1
17 217 1
17 463 1
17 499 1
18 4 1
18 50 1
18 67 1
18 70 3
18 73 1
18 196 1
18 422 1
18 434 1
19 5 1
19 32 2
19 86 1
19 98 2
19 128 2
19 137 2
19 151 1
19 157 1
19 182 1
19 185 1
19 264 1
19 438 1
20 25 1
20 128 1
20 129 1
20 159 1
20 162 1
20 199 1
20 241 1
21 7 2
21 23 1
21 36 1
21 155 1
21 166 1
21 292 1
21 330 1
22 2 1
22 26 1
22 30 1
22 37 1
22 134 1
22 195 1
22 232 1
22 276 1
22 339 1
22 471 1
23 42 1
23 45 1
23 64 1
23 70 1
23 79 1
23 85 1
23 91 1
23 102 1
23 112 1
23 140 1
23 144 1
23 190 1
23 246 1
23 422 1
23 599 1
24 73 1
24 79 1
24 120 2
24 137 1
24 141 1
24 145 1
24 165 1
25 130 1
25 147 1
25 184 1
26 6 1
26 22 1
26 54 1
26 57 1
26 109 1
26 114 1
26 120 1
26 174 1
26 185 1
26 193 1
26 420 1
27 97 1
27 344 1
28 16 2
28 22 1
28 49 1
28 71 1
28 98 1
28 115 1
28 130 1
28 133 1
28 138 1
28 143 1
28 156 1
28 196 1
28 561 1
28 570 3
29 129 2
29 163 1
29 197 1
29 473 1
30 21 1
30 49 1
30 60 1
30 72 1
30 87 1
30 94 1
30 110 1
30 395 2
31 5 1
31 34 1
31 180 1
31 187 1
31 406 1
31 444 1
32 19 1
32 77 1
32 91 1
32 156 1
32 184 1
33 10 1
33 47 1
33 115 1
33 147 1
33 176 1
33 185 1
33 233 1
33 329 2
33 459 1
33 499 1
33 539 1
34 73 2
34 81 1
34 94 2
34 392 1
35 6 1
