source target w
0 9 1
0 26 1
0 30 3
0 39 1
0 44 1
0 54 1
0 77 1
0 80 1
0 88 2
0 110 1
0 131 4
0 161 1
0 420 1
0 475 1
1 31 1
1 79 1
1 85 1
1 117 1
1 127 1
1 157 1
1 170 1
1 180 1
1 197 2
1 524 1
2 33 1
2 173 1
2 231 1
3 12 1
3 52 1
3 53 1
3 62 2
3 90 1
3 132 1
3 164 1
3 171 1
3 196 1
3 309 1
3 497 1
4 22 1
4 31 1
4 36 1
4 51 1
4 74 3
4 106 1
4 135 1
4 147 1
4 171 1
4 193 1
4 466 1
4 487 1
5 33 1
5 75 1
5 116 3
5 126 1
5 289 1
5 382 1
5 588 1
6 10 1
6 29 1
6 36 1
6 66 1
6 72 1
6 81 1
6 88 1
6 142 1
6 179 2
6 182 1
6 404 4
6 430 1
7 27 1
7 42 1
7 46 1
7 48 1
7 61 1
7 82 1
7 93 1
7 120 1
7 123 1
7 152 1
7 163 1
7 169 1
7 178 1
7 285 1
8 31 3
8 32 1
8 44 1
8 100 1
8 154 1
8 199 1
9 22 1
9 194 1
9 280 1
10 6 1
10 32 2
10 63 2
10 87 1
10 90 1
10 115 1
10 126 1
10 132 2
10 141 1
10 143 1
10 159 1
10 169 1
11 37 1
11 42 1
11 97 1
11 108 1
11 127 1
11 143 2
11 178 1
12 17 1
12 32 1
12 41 2
12 62 1
12 83 1
12 136 1
12 340 1
13 24 1
13 37 1
13 50 1
13 56 1
13 57 1
13 149 1
13 180 1
13 182 2
13 199 1
13 549 1
14 57 1
14 84 1
14 107 1
14 488 1
15 7 1
15 33 2
15 40 1
15 86 1
15 124 1
15 139 1
15 148 1
15 182 1
15 386 1
15 397 1
16 7 1
16 38 3
16 53 1
16 79 1
16 136 1
16 150 1
16 266 1
16 320 1
17 32 1
17 36 1
17 72 1
17 87 1
17 156 1
17 157 1
17 169 1
17 174 1
17 184 2
17 467 1
18 32 1
18 74 1
18 78 1
18 100 2
18 188 2
18 197 1
18 334 2
19 31 1
19 60 1
